"Nr.","Kandidatas","Padalinys","GMF","ChF","MIF","TMI","FF","MF","BTI","BChI","TFAI","MII","Viso"
"1.","Prof. dr. Kęstutis Arlauskas","FF",39.0,18.0,63.0,13.0,"xxxx",176.0,8.0,35.0,13.0,25.0,390.0
"2.","Prof. habil. dr. Vytautas Daujotis","ChF",19.0,"xxxxxx",34.0,4.0,19.0,38.0,10.0,7.0,4.0,7.0,142.0
"3.","Prof. dr. Ramūnas Garunkštis","MIF",13.0,1.0,"xxxxxxx",3.0,7.0,21.0,2.0,0.0,2.0,31.0,80.0
"4.","Dr. Vygintas Gontis","TFAI",5.0,1.0,18.0,6.0,12.0,23.0,3.0,2.0,"xxx",9.0,79.0
"5.","Prof. dr. Virginija Grabauskienė","MF",14.0,2.0,7.0,1.0,14.0,"xxx",2.0,1.0,1.0,2.0,44.0
"6.","Prof. dr. Rimantas Jankauskas","MF",36.0,8.0,33.0,14.0,15.0,"xxx",31.0,3.0,1.0,19.0,160.0
"7.","Prof. habil. dr. Valdas Stanislovas Laurinavičius","BChI",21.0,5.0,24.0,4.0,18.0,38.0,7.0,"xxx",35.0,11.0,163.0
"8.","Doc. dr. Martynas Manstavičius","MIF",41.0,37.0,"xxxxxxxx",14.0,50.0,158.0,28.0,35.0,2.0,16.0,381.0
"9.","Doc. dr. Viktoras Masevičius","ChF",18.0,"xxxxxxxx",20.0,12.0,5.0,17.0,36.0,4.0,1.0,2.0,115.0
"10.","Doc. dr. Birutė Petrauskienė","MF",19.0,5.0,4.0,0.0,0.0,"xxx",1.0,1.0,0.0,17.0,47.0
"11.","Prof. habil. dr. Narūnas Porvaneckas","MF",7.0,1.0,7.0,1.0,14.0,"xxx",0.0,4.0,0.0,1.0,35.0
"12.","Doc. dr. Ingrida Prigodina Lukošienė","GMF","xxxxxxxxxx",34.0,40.0,9.0,32.0,165.0,35.0,37.0,1.0,1.0,354.0
"13.","Prof. habil. dr. Alfredas Račkauskas","MIF",16.0,1.0,"xxxxxxx",16.0,17.0,23.0,0.0,3.0,5.0,15.0,96.0
"14.","Dr. Julija Razumienė","BChI",53.0,38.0,43.0,4.0,25.0,161.0,15.0,"xxx",36.0,17.0,392.0
"15.","Habil. dr. Rimantas Rudzkis","MII",17.0,12.0,42.0,6.0,13.0,49.0,6.0,4.0,35.0,"xxx",184.0
"16.","Dr. Julius Ruseckas","TFAI",6.0,3.0,5.0,4.0,15.0,19.0,13.0,1.0,"xxx",23.0,89.0
"17.","Prof. dr. Virginijus Šapoka","MF",51.0,22.0,47.0,15.0,39.0,"xxx",20.0,33.0,1.0,5.0,233.0
"18.","Prof. dr. Jūratė Šipylaitė","MF",45.0,22.0,39.0,2.0,31.0,"xxx",2.0,34.0,11.0,2.0,188.0
"19.","Prof. habil. dr. Gintautas Tamulaitis","TMI",44.0,28.0,39.0,"xxxxxx",79.0,22.0,37.0,33.0,36.0,6.0,324.0
"20.","Dr. Aurelija Žvirblienė","BTI",46.0,8.0,10.0,8.0,15.0,51.0,"xxx",13.0,32.0,21.0,204.0
