Kandidatas,Padalinys,Viso
Dr. Julija Razumienė,BChI,392
Prof. dr. Kęstutis Arlauskas,FF,390
Doc. dr. Martynas Manstavičius,MIF,381
Doc. dr. Ingrida Prigodina Lukošienė,GMF,354
Prof. habil. dr. Gintautas Tamulaitis,TMI,324
Prof. dr. Virginijus Šapoka,MF,233
Dr. Aurelija Žvirblienė,BTI,204
Prof. dr. Jūratė Šipylaitė,MF,188
Habil. dr. Rimantas Rudzkis,MII,184
Prof. habil. dr. Valdas Stanislovas Laurinavičius,BChI,163
Prof. dr. Rimantas Jankauskas,MF,160
Prof. habil. dr. Vytautas Daujotis,ChF,142
Doc. dr. Viktoras Masevičius,ChF,115
Prof. habil. dr. Alfredas Račkauskas,MIF,96
Dr. Julius Ruseckas,TFAI,89
Prof. dr. Ramūnas Garunkštis,MIF,80
Dr. Vygintas Gontis,TFAI,79
Doc. dr. Birutė Petrauskienė,MF,47
Prof. dr. Virginija Grabauskienė,MF,44
Prof. habil. dr. Narūnas Porvaneckas,MF,35
